 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
シゲルデンガク,,牡2,不在,(栗)目野哲也, 0- 0- 0- 1,0,リンカーン,キャラット,森中蕃,畔柳作次,新冠町,,2012,3月19日,2012100190,262.5万円,冠名＋祭名「田楽（全国）」より,"Shigeru Dengaku"
クリノダイシャリン,,牡2,在厩,(美)天間昭一, 0- 0- 0- 1,0,ゼンノロブロイ,ボーイントンキャニオン,栗本博晴,佐藤信広,新冠町,,2012,2月24日,2012100286,693万円,冠名＋大車輪（麻雀用語）,"Kurino Daisharin"
スマートアロー,,牡2,在厩,(栗)須貝尚介, 0- 0- 1- 1,0,ディープインパクト,スマートフェアリー,大川徹,スマートプロジェクトインコーポレイテッド,新冠町,,2012,4月27日,2012100332,,冠名＋矢,"Smart Arrow"
ヒラボククラウン,,牡2,在厩,(栗)須貝尚介, 0- 0- 0- 1,0,キングカメハメハ,ゴーカロライナ,平田牧場,下河辺牧場,日高町,,2012,3月12日,2012101337,,冠名＋王冠,"Hiraboku Crown"
フミノインパルス,,牡2,在厩,(栗)目野哲也, 0- 0- 0- 2,0,タニノギムレット,ホリデイスクリーン,谷二,白瀬盛雄,日高町,,2012,4月18日,2012101438,535.5万円(他),冠名＋衝動,"Fumino Impulse"
カシノキングダム,,牡2,在厩,(美)二本柳俊, 0- 0- 0- 2,0,サウスヴィグラス,レースミストレス,柏木務,門別牧場,日高町,,2012,5月9日,2012102008,420万円,冠名＋生物学理念（動植物分類学上の界）,"Kashino Kingdom"
オレンジピークス,,牡2,不在,(栗)目野哲也, 0- 0- 0- 0,0,アドマイヤムーン,レッドボナンザ,西森鶴,坂東牧場,平取町,,2012,4月24日,2012102177,,オレンジ色のキツツキ,"Orange Picus"
スズカリバー,,牡2,不在,(美)伊藤圭三, 0- 0- 0- 0,0,サウスヴィグラス,リバティーベル,永井啓弍,グランド牧場,新ひだか町,,2012,3月20日,2012102897,2047.5万円,冠名＋母名より,"Suzuka River"
シーレッド,,牡2,不在,(美)田村康仁, 0- 1- 0- 0,0,グラスワンダー,ナリタジュエリー,スリースターズレーシング,武牧場,新ひだか町,,2012,3月20日,2012103062,262.5万円,カッとなる,"See Red"
シューイチ,,牡2,不在,(美)中野栄治, 0- 0- 0- 1,0,スマートボーイ,メルシーミヨ,益田修一,西川富岡牧場,新ひだか町,,2012,3月18日,2012103322,,馬主名より,Shuichi
タマモカチグリ,,牡2,在厩,(美)伊藤圭三, 0- 0- 0- 0,0,マツリダゴッホ,チャームマロン,タマモ,前田牧場,新ひだか町,,2012,3月22日,2012103544,,冠名＋勝栗。母名より連想,"Tamamo Kachiguri"
ソヴリンマンボ,,牡2,在厩,(美)谷原義明, 0- 0- 0- 0,0,スズカマンボ,フラワーサークル,平岡茂樹,飯原牧場,豊浦町,,2012,4月3日,2012103875,,最上の＋父名の一部,"Sovereign Mambo"
ディープフォルツァ,,牡2,不在,(栗)安田隆行, 0- 0- 1- 0,0,ディープインパクト,チナンデガ,グリーンファーム,社台ファーム,千歳市,,2012,4月14日,2012104292,,父名の一部＋力、強さ（伊）,"Deep Forza"
トーセンスパンキー,,牡2,在厩,(美)木村哲也, 0- 0- 0- 0,0,スペシャルウィーク,バースデイローズ,島川隆哉,社台ファーム,千歳市,,2012,2月5日,2012104331,4515万円,冠名＋勇気のある、元気な,"Tosen Spunky"
ワンダーショット,,牡2,在厩,(栗)小崎憲, 0- 0- 0- 0,0,スペシャルウィーク,キスショット,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,2月6日,2012104588,,素晴らしい写真、奇跡の一枚,"Wonder Shot"
ジュンファイター,,牡2,不在,(栗)友道康夫, 0- 0- 0- 0,0,ダイワメジャー,マンファス,河合純二,ノーザンファーム,安平町,,2012,2月10日,2012104862,6720万円,馬主名より＋戦士。常にファイトを持って頑張るように,"Jun Fighter"
アドマイヤロケット,,牡2,在厩,(栗)友道康夫, 0- 0- 0- 1,0,ゼンノロブロイ,リッチアフェアー,近藤利一,ノーザンファーム,安平町,,2012,2月29日,2012104907,3465万円,冠名＋ロケット,"Admire Rocket"
ブライトボイス,,牡2,在厩,(栗)加用正, 0- 0- 0- 0,0,スペシャルウィーク,アフレタータ,宮川純造,富田牧場,浦河町,,2012,3月27日,2012105425,,元気な声,"Bright Voice"
エイシンシャーマン,,牡2,不在,(栗)坂口正則, 0- 0- 0- 1,0,キングカメハメハ,セントルイスガール,栄進堂,三嶋牧場,浦河町,,2012,2月13日,2012105577,,冠名＋アメリカ南北戦争の将軍名「ウィリアム・シャーマン」より,"A Shin Sherman"
ゼンノイザナギ,,牡2,不在,(栗)安田隆行, 0- 0- 0- 1,0,ゴールドアリュール,ヒシアイドル,大迫久美子,中村雅明,浦河町,,2012,3月5日,2012106007,,冠名＋日本神話の男神,"Zenno Izanagi"
ファインサム,,牡2,不在,(美)小桧山悟, 0- 0- 0- 0,0,カンパニー,ステルスエミオ,宮崎金造,競優牧場,新冠町,,2012,5月20日,2012106398,,ファイン＋人名より,"Fine Sam"
ジーアイウォーカー,,牡2,不在,(美)谷原義明, 0- 0- 0- 0,0,フサイチホウオー,ジェイドロダンサー,岩崎銀一,太陽ジョイフル牧場,新冠町,,2012,4月27日,2012106440,,馬主名より＋歩行者,"G I Walker"
ツンデレーション,,牡2,在厩,(美)田村康仁, 0- 0- 0- 0,0,ブラックタイド,レインボーシックス,スリースターズレーシング,青南ムラカミファーム,青森県,,2012,4月19日,2012109150,420万円,ツンデレより,Tsunderation
ギンガメテオール,,牡2,不在,(美)本間忍, 0- 0- 0- 0,0,クロフネ,アイアイボタン,森山進,秋田牧場,新冠町,,2012,2月13日,2012100017,1785万円,銀河＋流星（仏）,"Ginga Meteore"
ショウナンマール,,牡2,不在,(美)古賀史生, 0- 0- 0- 0,0,オペラハウス,イータカリーナ,湘南,アラキフアーム,新冠町,,2012,4月15日,2012100044,861万円,冠名＋海（ポルトガル語）,"Shonan Mar"
ワイドグローリー,,牡2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,サムライハート,シルクアワード,幅田昌伸,石田牧場,新冠町,,2012,4月15日,2012100065,493.5万円,冠名＋栄光,"Wide Glory"
ボールドハート,,牡2,不在,(栗)中村均, 0- 0- 0- 0,0,エンパイアメーカー,ラブハート,増田陽一,奥山博,新冠町,,2012,3月30日,2012100109,,冠名＋母名の一部,"Bold Heart"
マイネルシュプレム,,牡2,不在,(美)黒岩陽一, 0- 0- 0- 0,0,ケイムホーム,シルクファビュラス,サラブレッドクラブ・ラフィアン,オリエント牧場,新冠町,,2012,4月6日,2012100112,,冠名＋最高の（仏）,"Meiner Supreme"
グランソルティス,,牡2,不在,(栗)木原一良, 0- 0- 0- 0,0,ゼンノロブロイ,ポポラス,名古屋友豊,オリエント牧場,新冠町,,2012,3月23日,2012100115,,強い（仏）＋運（ポルトガル語）,"Grand Sortes"
