血統登録番号, 馬名,性別,年齢,状態,厩舎,種牡馬,母名,母父名,毛色,収得賞金,本賞金,着度数,馬主,生産者,状態
2012109209,グランデコマンド,牡,2,在厩,(栗)高橋康之,ダンディコマンド,スティルヘブン,チーフベアハート,鹿毛,0,0, 0- 0- 0- 0,グランデオーナーズ,吉永ファーム,在厩
2012110001,ストーンウェア,牡,2,不在,(栗)吉田直弘,Birdstone,"Antique Auction","Geiger Counter",鹿毛,0,0, 0- 0- 0- 0,吉田照哉,"Shadai Farm",不在
2012110026,ウインエアフォース,牡,2,不在,(栗)西園正都,"Indian Charlie","Henderson Band","Chimes Band",黒鹿,0,0, 0- 0- 0- 0,ウイン,"Brereton C. Jones",不在
2012100514,タガノハーデス,牡,2,不在,(栗)池添兼雄,ブライアンズタイム,タガノユニヴァース,ネオユニヴァース,黒鹿,0,0, 0- 0- 0- 0,八木良司,新冠タガノファーム,不在
2012100524,タガノアラシ,牡,2,不在,(栗)鈴木孝志,ヴァーミリアン,ファウンテンリズム,フレンチデピュティ,黒鹿,0,70, 0- 0- 0- 1,八木良司,新冠タガノファーム,不在
2012100545,タケデンタイガー,牡,2,在厩,(美)武市康男,フレンチデピュティ,タケデンプラザ,サクラバクシンオー,栗毛,0,280, 0- 1- 0- 0,武市弘,新冠橋本牧場,在厩
2012100602,トゥラクレス,牡,2,在厩,(栗)沖芳夫,タニノギムレット,デューティ,Hennessy,鹿毛,0,0, 0- 0- 0- 0,ノースヒルズ,ノースヒルズ,在厩
2012100637,ウインエスパシオ,牡,2,不在,(美)畠山吉宏,ネオユニヴァース,ラストパートナー,エリシオ,青鹿,0,180, 0- 0- 1- 0,ウイン,ハクツ牧場,不在
2012100983,タカラレジェンド,牡,2,不在,(美)伊藤正徳,ファルブラヴ,マルディグラ,ダンスインザダーク,鹿毛,0,0, 0- 0- 0- 1,村山義男,大栄牧場,不在
2012100996,レジェンドパワー,牡,2,不在,(美)中野栄治,ジークエンブレム,プリンセスゴーラン,オペラハウス,黒鹿,0,0, 0- 0- 0- 0,西村新一郎,旭牧場,不在
2012101013,アポロノシンザン,牡,2,在厩,(美)堀井雅広,サクラバクシンオー,アポロジャスミン,"Saint Liam",鹿毛,0,180, 0- 0- 1- 0,アポロサラブレッドクラブ,天羽禮治,在厩
2012101062,ウイズキッド,牡,2,在厩,(美)武藤善則,タイキシャトル,フィールドソング,Gulch,黒鹿,0,0, 0- 0- 0- 1,井上一郎,いとう牧場,在厩
2012101099,トーセンユニバース,牡,2,不在,(美)木村哲也,トーセンファントム,トーセンスクリュー,フレンチデピュティ,栗毛,0,0, 0- 0- 0- 0,島川隆哉,エスティファーム,不在
2012101132,トミケンシェルフ,牡,2,在厩,(美)武井亮,サイレントディール,アグリフェスタ,ウイングアロー,栗毛,0,0, 0- 0- 0- 0,冨樫賢二,沖田牧場,在厩
2012101788,キョウエイプライド,牡,2,在厩,(美)伊藤伸一,カネヒキリ,ビアンコ,ウォーニング,黒鹿,0,0, 0- 0- 0- 0,田中晴夫,春木昭雄,在厩
2012102297,ロードメタリック,牡,2,不在,(美)小島茂之,ワイルドラッシュ,ジャックカガヤキ,デインヒル,青鹿,0,0, 0- 0- 0- 0,ロードホースクラブ,ケイアイファーム,不在
2012102453,ラミーロ,牡,2,在厩,(美)和田雄二,アサクサデンエン,アラハ,アドマイヤベガ,栗毛,400,700, 1- 0- 0- 0,門野重雄,原口牧場,在厩
2012102598,ブラックバスター,牡,2,不在,(美)高柳瑞樹,ブラックタイド,ファーストサイト,メジロライアン,青鹿,0,0, 0- 0- 0- 0,杉山忠国,明治牧場,不在
2012102830,ポントス,牡,2,在厩,(美)蛯名利弘,シニスターミニスター,フリートサクシード,ラムタラ,鹿毛,0,0, 0- 0- 0- 1,ミルファーム,キヨタケ牧場,在厩
2012102859,シゲルヒマツリ,牡,2,不在,(栗)中村均,アドマイヤムーン,セクレゴールド,"Seeking the Gold",鹿毛,0,0, 0- 0- 0- 0,森中蕃,グランド牧場,不在
2012103100,サクラライトニング,牡,2,不在,(美)金成貴史,サクラプレジデント,サクラレイリ,サクラバクシンオー,栗毛,0,0, 0- 0- 0- 0,さくらコマース,谷岡スタット,不在
2012103249,トウショウピスト,牡,2,在厩,(栗)角田晃一,ヨハネスブルグ,シーイズトウショウ,サクラバクシンオー,鹿毛,400,700, 1- 0- 0- 0,トウショウ産業,トウショウ産業株式会社トウショウ牧場,在厩
2012103389,ナムラミカサ,牡,2,在厩,(栗)福島信晴,エンパイアメーカー,ナムラスプレンダー,サクラバクシンオー,鹿毛,0,0, 0- 0- 0- 0,奈村信重,八田ファーム,在厩
2012103599,サクラベルカント,牡,2,不在,(美)尾関知人,サクラゼウス,サクラブルース,"Cure the Blues",鹿毛,0,0, 0- 0- 0- 0,さくらコマース,山田牧場,不在
2012103799,ハイドンセット,牡,2,不在,(美)萩原清,ハーツクライ,メルセンヌナンバー,ワイルドラッシュ,鹿毛,0,0, 0- 0- 0- 0,池谷誠一,上水牧場,不在
2012104330,ヴァルディスーザ,牡,2,在厩,(栗)橋口弘次,ダイワメジャー,バルドネキア,"Indian Ridge",栗毛,0,0, 0- 0- 0- 1,社台レースホース,社台ファーム,在厩
2012104438,ブラヴィッシモ,牡,2,在厩,(栗)須貝尚介,"Fastnet Rock",メイキアシー,"Sadler's Wells",鹿毛,0,0, 0- 0- 0- 0,金子真人ホールディングス,社台ファーム,在厩
2012104595,スワーヴジョージ,牡,2,在厩,(栗)庄野靖志,ハービンジャー,ギーニョ,サンデーサイレンス,鹿毛,0,0, 0- 0- 0- 0,諏訪守,ノーザンファーム,在厩
2012104659,サンデーウィザード,牡,2,不在,(栗)大久保龍,ネオユニヴァース,シーズインクルーデッド,Include,鹿毛,0,0, 0- 0- 0- 0,巽祐子,ノーザンファーム,不在
2012104780,ディグニファイド,牡,2,不在,(栗)高野友和,ネオユニヴァース,ファストフレンド,アイネスフウジン,栗毛,0,0, 0- 0- 0- 0,シルク,ノーザンファーム,不在
2012104841,リミットブレイク,牡,2,不在,(美)尾関知人,サクラバクシンオー,マザーウェル,シンボリクリスエス,鹿毛,0,110, 0- 0- 0- 1,シルク,ノーザンファーム,不在
2012105040,ジェロニモ,牡,2,在厩,(美)松永康利,オリオンザサンクス,エリモティアーズ,ブライアンズタイム,栗毛,0,0, 0- 0- 0- 0,平本敏夫,林時春,在厩
2012105177,カフジドラゴン,牡,2,在厩,(栗)松元茂樹,バゴ,アドマイヤジュノー,ゼンノロブロイ,栗毛,0,0, 0- 0- 0- 0,加藤守,鎌田正嗣,在厩
2012105301,ケルソン,牡,2,在厩,(栗)西橋豊治,タイキシャトル,ロイヤルキャニオン,ラストタイクーン,鹿毛,0,0, 0- 0- 0- 2,山上和良,信成牧場,在厩
2012105420,ノースランドボーイ,牡,2,不在,(美)萱野浩二,プリサイスエンド,ノッティングギャル,ダンスインザダーク,青毛,0,0, 0- 0- 0- 1,河村祥史,冨岡博一,不在
2012105506,タイキレガトゥス,牡,2,不在,(栗)藤岡健一,クロフネ,タイキトゥインクル,リアルシヤダイ,栗毛,0,0, 0- 0- 0- 0,大樹ファーム,ビクトリーホースランチ,不在
2012105615,ジャイアントケンタ,牡,2,在厩,(栗)藤沢則雄,ジャイアントレッカー,トップエルコン,エルコンドルパサー,鹿毛,0,0, 0- 0- 0- 1,森長義,宮内牧場,在厩
2012106074,ウォーターイーグル,牡,2,不在,(栗)岡田稲男,マンハッタンカフェ,ウォーターエナン,"Boston Harbor",黒鹿,0,0, 0- 0- 0- 0,山岡良一,伏木田牧場,不在
2012106105,ビッグフジ,牡,2,在厩,(栗)梅田康雄,プリサイスエンド,ベルキス,エルハーブ,鹿毛,0,0, 0- 0- 0- 1,ビッグ,村下清志,在厩
2012106115,ジャイアントアイ,牡,2,不在,(美)松山将樹,ジャイアントレッカー,ミヤジアイ,アイネスフウジン,栗毛,0,0, 0- 0- 0- 0,島田久,村中牧場,不在
2012106139,ドラゴンパイロ,牡,2,在厩,(美)大久保洋,パイロ,クィリー,"Gone West",青鹿,0,0, 0- 0- 0- 0,窪田康志,鮫川啓一,在厩
2012106200,ウインブルーローズ,牡,2,不在,(美)高橋祥泰,キンシャサノキセキ,ハリウッドローズ,ラムタラ,鹿毛,0,0, 0- 0- 0- 0,ウイン,鎌田正嗣,不在
2012109035,シゲルハツウマサイ,牡,2,在厩,(栗)田中章博,ストーミングホーム,ムーンダスト,デュランダル,栗毛,0,0, 0- 0- 0- 0,森中蕃,諏訪牧場,在厩
2012109064,サーロス,牡,2,在厩,(美)畠山吉宏,ファルブラヴ,エオストレ,アグネスワールド,鹿毛,0,0, 0- 0- 0- 0,畠山伊公子,ラークヒルズ,在厩
2012109127,アミフジタイカン,牡,2,在厩,(美)浅野洋一,ファルブラヴ,セドゥクティーバ,アグネスタキオン,鹿毛,0,0, 0- 0- 0- 0,内藤好江,内藤牧場,在厩
2012110035,スームジュール,牡,2,不在,(栗)角田晃一,"Distorted Humor","Summer Raven","Summer Squall",鹿毛,0,0, 0- 0- 0- 1,前田幸治,"Alpha Delta Stables LLC",不在
2012100260,ジョウショーチカラ,牡,2,在厩,(栗)高橋康之,マルカシェンク,ジョウショークイン,ディアブロ,青鹿,0,0, 0- 0- 0- 0,熊田義孝,五丸農場,在厩
2012100266,ワイルドピーチ,牡,2,不在,(美)金成貴史,スウェプトオーヴァーボード,ピーチドラフト,サクラバクシンオー,芦毛,0,0, 0- 0- 0- 0,ニットー商事,斉藤安行,不在
2012100283,インデペンデント,牡,2,不在,(美)畠山吉宏,キングカメハメハ,フジノハゴロモ,サクラバクシンオー,栗毛,0,0, 0- 0- 0- 1,Basic,佐藤信広,不在
2012100329,スターチェイサー,牡,2,不在,(美)和田正道,アドマイヤオーラ,ハクサンフウロ,スピードワールド,芦毛,0,0, 0- 0- 0- 0,スピードファーム,スピードフアーム,不在
2012100413,エンクエントロス,牡,2,在厩,(美)黒岩陽一,マイネルラヴ,ダッチアイリス,アドマイヤベガ,鹿毛,0,0, 0- 0- 0- 0,スリースターズレーシング,対馬正,在厩
2012100428,クリノテツマン,牡,2,在厩,(美)石毛善彦,ロッコウオロシ,メイプレンピーチ,マーベラスサンデー,栗毛,0,0, 0- 0- 0- 1,栗本博晴,堤牧場,在厩
2012100448,チョッコリタマイレ,牡,2,在厩,(栗)田中章博,オレハマッテルゼ,イカガデスカ,デヒア,鹿毛,0,0, 0- 0- 0- 0,小田切有一,中地康弘,在厩
2012100503,タガノアルデ,牡,2,不在,(栗)浅見秀一,エンパイアメーカー,タガノアルデバラン,ダンスインザダーク,芦毛,0,0, 0- 0- 0- 1,八木良司,新冠タガノファーム,不在
2012100504,タガノパシフィカス,牡,2,不在,(栗)鮫島一歩,エンパイアメーカー,タガノガンチーニ,ネオユニヴァース,鹿毛,0,0, 0- 0- 0- 0,八木良司,新冠タガノファーム,不在
2012100522,ドンデナーダ,牡,2,在厩,(栗)加用正,キンシャサノキセキ,ドナフュージョン,シンボリクリスエス,鹿毛,0,110, 0- 0- 0- 2,山田貢一,新冠タガノファーム,在厩
2012100528,タガノアザガル,牡,2,在厩,(栗)千田輝彦,バゴ,ライアメロディー,アドマイヤベガ,黒鹿,0,280, 0- 1- 0- 0,八木良司,新冠タガノファーム,在厩
2012100534,ベニバナオンリー,牡,2,在厩,(美)畠山吉宏,カネヒキリ,クリックストリーム,グラスワンダー,黒鹿,0,0, 0- 0- 0- 0,ベニバナ組合,新冠橋本牧場,在厩
2012100582,グレイトチャーター,牡,2,在厩,(栗)鮫島一歩,サクラバクシンオー,エーゲリア,"Giant's Causeway",鹿毛,0,0, 0- 0- 0- 0,ノースヒルズ,ノースヒルズ,在厩
2012100591,コンセギール,牡,2,在厩,(栗)松永幹夫,ステイゴールド,サウスオブスカイ,ボストンハーバー,黒鹿,0,0, 0- 0- 0- 1,ノースヒルズ,ノースヒルズ,在厩
2012100608,ティルナノーグ,牡,2,在厩,(栗)松永幹夫,ディープインパクト,バイコースタル,"Gone West",鹿毛,0,0, 0- 0- 0- 0,前田幸治,ノースヒルズ,在厩
2012100830,タカノロンシャン,牡,2,在厩,(栗)梅田康雄,チチカステナンゴ,ウインラシェーナ,バブルガムフェロー,芦毛,0,0, 0- 0- 0- 0,山口多賀司,村上欽哉,在厩
2012101282,ゲンキチハヤブサ,セ,2,在厩,(栗)川村禎彦,ヨハネスブルグ,ラーチャプルック,マーベラスサンデー,栗毛,0,0, 0- 0- 0- 0,荒井壽明,サンシャイン牧場,在厩
2012101297,グランロディア,牡,2,不在,(栗)森秀行,ネオユニヴァース,スイートリトリート,"Indian Ridge",鹿毛,0,0, 0- 0- 0- 0,飯田訓大,三城牧場,不在
2012102084,ロードアルタイル,牡,2,不在,(美)新開幸一,グラスワンダー,ドナマッハ,アドマイヤベガ,鹿毛,0,0, 0- 0- 0- 0,ロードホースクラブ,協栄組合,不在
2012102178,ウインバローラス,牡,2,在厩,(美)奥平雅士,スターリングローズ,ケージーダンサー,コマンダーインチーフ,鹿毛,0,0, 0- 0- 0- 1,ウイン,飯岡牧場,在厩
2012102179,トミケンキルカス,牡,2,不在,(美)水野貴広,タイキシャトル,サウンドアメニティ,キンググローリアス,栗毛,0,0, 0- 0- 0- 1,冨樫賢二,飯岡牧場,不在
2012102260,シゲルワッショイ,牡,2,在厩,(栗)服部利之,プリサイスエンド,グロリアスシーン,キンググローリアス,栗毛,0,0, 0- 0- 0- 0,森中蕃,加野牧場,在厩
2012102278,イマカイマカト,牡,2,不在,(美)本間忍,サムライハート,アイリスイン,カーネギー,鹿毛,0,0, 0- 0- 0- 0,小田切有一,木下牧場,不在
2012102477,ワキノヒビキ,牡,2,不在,(栗)清水久詞,オンファイア,ワキノバクシン,サクラバクシンオー,鹿毛,400,500, 1- 0- 0- 1,脇山良之,広田牧場,不在
2012102486,コンクエストシチー,牡,2,在厩,(栗)村山明,ネオユニヴァース,フレームオブトゥルース,"Rainbow Quest",栗毛,0,0, 0- 0- 0- 0,友駿ホースクラブ,幌村牧場,在厩
2012102727,ノースヒーロー,牡,2,在厩,(美)和田正道,スクリーンヒーロー,ラブイズカヌマ,タイキシャトル,栗毛,0,0, 0- 0- 0- 1,スピードファーム,漆原武男,在厩
2012102887,トミケンモヴェール,牡,2,在厩,(美)伊藤圭三,カネヒキリ,プリモローズ,アサティス,栗毛,0,0, 0- 0- 0- 0,冨樫賢二,グランド牧場,在厩
2012102921,メイプルレインボー,牡,2,在厩,(美)高市圭二,カネヒキリ,メイプルスプリング,ソヴィエトスター,栗毛,0,280, 0- 1- 0- 0,節英司,酒井秀紀,在厩
2012102959,ウエイブ,牡,2,在厩,(美)伊藤大士,ストーミングホーム,ローズオブダイヤ,サンデーサイレンス,青鹿,0,0, 0- 0- 0- 2,ミルファーム,佐竹学,在厩
2012103020,ヘウレーカ,牡,2,在厩,(美)本間忍,スペシャルウィーク,ジュメイラジョアン,Swain,鹿毛,0,0, 0- 0- 0- 0,池谷誠一,タイヘイ牧場,在厩
2012103739,ハクサンフレンチ,牡,2,在厩,(栗)坂口正則,フレンチデピュティ,リキセレナード,ジェイドロバリー,鹿毛,0,0, 0- 0- 0- 0,河崎五市,チャンピオンズファーム,在厩
2012103870,ゴールドバンカー,牡,2,不在,(栗)田中章博,トワイニング,レッドイオ,ゴールドアリュール,栗毛,0,0, 0- 0- 0- 1,磯波勇,登別上水牧場,不在
2012103932,プエルト,牡,2,不在,(美)大竹正博,メイショウサムソン,チャールストンハーバー,Grindstone,鹿毛,0,0, 0- 0- 0- 0,池谷誠一,レイクヴィラファーム,不在
2012103945,シゲルドンタク,牡,2,在厩,(栗)福島信晴,タイキシャトル,メジロフォーナ,ナリタトップロード,栗毛,0,0, 0- 0- 0- 0,森中蕃,レイクヴィラファーム,在厩
2012104012,ワイルドテイスト,牡,2,在厩,(美)黒岩陽一,ワイルドラッシュ,ティークリッパー,トニービン,栗毛,0,0, 0- 0- 0- 0,G1レーシング,追分ファーム,在厩
2012104552,アヴニールマルシェ,牡,2,不在,(美)藤沢和雄,ディープインパクト,ヴィートマルシェ,フレンチデピュティ,鹿毛,400,700, 1- 0- 0- 0,キャロットファーム,ノーザンファーム,不在
2012104589,キッスアフィニティ,牡,2,在厩,(美)久保田貴,ゼンノロブロイ,キッスパシオン,ジェイドロバリー,黒鹿,0,0, 0- 0- 0- 0,シルク,ノーザンファーム,在厩
2012104649,ネオルミエール,牡,2,不在,(美)藤沢和雄,ネオユニヴァース,シルクプリマドンナ,ブライアンズタイム,栗毛,0,0, 0- 0- 0- 0,シルク,ノーザンファーム,不在
2012104651,チャリスウェル,牡,2,不在,(栗)宮本博,ダイワメジャー,シルバーチャリス,"Rainbow Quest",鹿毛,0,0, 0- 0- 0- 0,キャロットファーム,ノーザンファーム,不在
2012104732,アンティキティラ,牡,2,不在,(美)萩原清,ゼンノロブロイ,データ,Roy,栗毛,0,0, 0- 0- 0- 0,キャロットファーム,ノーザンファーム,不在
2012104977,スリーワイズ,牡,2,不在,(美)伊藤圭三,ジャイアントレッカー,スズカワイズクイン,ワイルドラッシュ,栗毛,0,0, 0- 0- 0- 1,永井商事,様似共栄牧場,不在
2012105076,サンアルパイン,牡,2,不在,(美)萱野浩二,アッミラーレ,ライデンガール,ワカオライデン,鹿毛,0,0, 0- 0- 0- 0,加藤信之,今井秀樹,不在
2012105090,ツェッペリン,牡,2,在厩,(美)高柳瑞樹,ブライアンズタイム,トシザサンサン,ブラックタイアフェアー,青鹿,0,110, 0- 0- 0- 1,窪田康志,浦河小林牧場,在厩
2012105109,ティーエスカクタス,牡,2,不在,(栗)鈴木孝志,フレンチデピュティ,クールネージュ,"Forty Niner",栗毛,0,0, 0- 0- 0- 0,田畑利彦,浦河日成牧場,不在
2012105238,エメラルエナジー,牡,2,不在,(美)相沢郁,ファルブラヴ,セトウチソーラー,スペシャルウィーク,栗毛,0,0, 0- 0- 0- 0,高橋勉,金成吉田牧場,不在
2012105266,シゲルホウネンサイ,牡,2,在厩,(栗)川村禎彦,バゴ,カロリーナローズ,"Cherokee Run",鹿毛,0,0, 0- 0- 0- 0,森中蕃,佐々木恵一,在厩
2012105316,ダンツフクキタル,牡,2,在厩,(栗)谷潔,バゴ,ナイツエンド,"End Sweep",黒鹿,0,0, 0- 0- 0- 0,山元哲二,惣田英幸,在厩
2012105336,テイエムクロタカ,牡,2,在厩,(栗)福島信晴,メイショウボーラー,タカノドレスアップ,フジキセキ,青鹿,0,0, 0- 0- 0- 0,竹園正繼,多田善弘,在厩
2012105545,カシノハリウッド,牡,2,在厩,(栗)牧田和弥,タイキシャトル,ペガサスゴールド,"Belong to Me",栗毛,0,380, 0- 1- 1- 0,柏木務,丸幸小林牧場,在厩
2012105644,イトスギ,牡,2,不在,(美)畠山重則,プリサイスエンド,ローテローゼ,グラスワンダー,鹿毛,0,0, 0- 0- 0- 0,ミルファーム,ミルファーム,不在
2012105728,ライメイ,牡,2,在厩,(美)和田正一,フォーティナイナーズサン,マイドリーマー,アグネスフライト,栗毛,0,0, 0- 0- 0- 1,スピードファーム,市川牧場,在厩
2012105964,サウスリュウセイ,牡,2,不在,(美)武藤善則,サウスヴィグラス,サウスエンピリカル,マンハッタンカフェ,鹿毛,0,0, 0- 0- 0- 1,南波壽,高岸順一,不在
2012106071,ゲネラルプローベ,牡,2,在厩,(栗)橋口弘次,キンシャサノキセキ,ウルトラスキー,タマモクロス,鹿毛,0,180, 0- 0- 1- 0,前田葉子,福岡光夫,在厩
2012106164,セイウンアサヒ,牡,2,不在,(美)松山将樹,パイロ,デアリングヴァース,"Opening Verse",鹿毛,0,0, 0- 0- 0- 0,西山茂行,パカパカファーム,不在
2012106255,スマートレビン,牡,2,不在,(栗)村山明,スマートギルド,ビクトリアクロス,ヘクタープロテクター,黒鹿,0,0, 0- 0- 0- 0,大川徹,グラストレーニングセンター,不在
2012109052,クリノトイトイ,牡,2,在厩,(美)高市圭二,ロドリゴデトリアーノ,サマーナイトジャズ,ミシエロ,栗毛,0,0, 0- 0- 0- 0,栗本博晴,藤森亮二,在厩
2012100006,ヌンチェルラ,牡,2,在厩,(美)高橋裕,ショウナンカンプ,サンライトフォリア,カーネギー,鹿毛,0,0, 0- 0- 0- 0,湯浅徳昭,赤石久夫,在厩
2012100100,アイファーサラオー,牡,2,在厩,(栗)坪憲章,タイムパラドックス,アイファーペガサス,デヒア,鹿毛,0,0, 0- 0- 0- 0,中島稔,大林ファーム,在厩
2012100131,フライガイザー,牡,2,在厩,(美)本間忍,パイロ,ヒシエリート,スペシャルウィーク,黒鹿,0,0, 0- 0- 0- 1,簗詰貴彦,カミイスタット,在厩
2012100312,オトコノヒマツリ,牡,2,不在,(美)相沢郁,カネヒキリ,ジャスミンブリーズ,キャロルハウス,栗毛,0,0, 0- 0- 0- 1,福島徳佑,須崎牧場,不在
2012100510,タガノビヨンド,牡,2,在厩,(栗)宮徹,キングカメハメハ,タガノティアーズ,タニノギムレット,鹿毛,0,0, 0- 0- 0- 0,八木良司,新冠タガノファーム,在厩
2012100538,サーチライト,牡,2,不在,(美)斎藤誠,ハービンジャー,スプレッドウィング,サンデーサイレンス,黒鹿,0,0, 0- 0- 0- 0,落合幸弘,新冠橋本牧場,不在
2012100555,ウインユニファイド,牡,2,在厩,(栗)飯田雄三,キンシャサノキセキ,ユーキャンドゥイット,"Gold Alert",黒鹿,0,0, 0- 0- 0- 1,ウイン,新冠橋本牧場,在厩
2012100600,ジャストドゥイング,牡,2,在厩,(栗)中竹和也,ゼンノロブロイ,ストラテジー,フレンチデピュティ,鹿毛,0,0, 0- 0- 0- 0,前田晋二,ノースヒルズ,在厩
2012100624,ブルームーン,牡,2,不在,(栗)清水久詞,パイロ,ルアシェイア,フジキセキ,鹿毛,0,0, 0- 0- 0- 0,ノースヒルズ,ノースヒルズ,不在
2012100704,マイネルヘルック,牡,2,在厩,(美)大竹正博,コンデュイット,ニシノサチヒメ,サンデーサイレンス,栗毛,0,110, 0- 0- 0- 1,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,在厩
2012100846,アングルゴア,牡,2,不在,(栗)浅見秀一,ヴァーミリアン,レナンセラ,"Saint Ballado",黒鹿,0,0, 0- 0- 0- 0,大迫基弘,村上欽哉,不在
2012100850,ショウナンマドロス,牡,2,在厩,(美)田中剛,シンボリクリスエス,ショウナンカルメン,"King Cugat",青鹿,0,0, 0- 0- 0- 0,国本哲秀,ムラカミファーム,在厩
2012101090,トーセンロジック,牡,2,不在,(美)本間忍,ストーミングホーム,トーセンアラベスク,アグネスタキオン,栗毛,0,0, 0- 0- 0- 0,島川隆哉,エスティファーム,不在
2012101162,ナンヨーピューピル,牡,2,不在,(美)杉浦宏昭,ハーツクライ,カネツフラップ,ホリスキー,黒鹿,0,0, 0- 0- 0- 0,中村徳也,カネツ牧場,不在
2012101234,サンクレイグ,セ,2,在厩,(美)萱野浩二,ジャイアントレッカー,トシメロディー,マイニング,栗毛,0,0, 0- 0- 0- 0,加藤信之,ケイズ,在厩
2012101357,トゥーハーツシチー,牡,2,不在,(美)松山将樹,スペシャルウィーク,ダンシングナゲット,"Seeking the Gold",鹿毛,0,0, 0- 0- 0- 0,友駿ホースクラブ,下河辺牧場,不在
2012101359,サトノアッシュ,牡,2,在厩,(栗)中竹和也,キングカメハメハ,ディナーブレイク,"Tale of the Cat",鹿毛,0,0, 0- 0- 0- 0,里見治,下河辺牧場,在厩
2012101546,スクワール,牡,2,在厩,(栗)野中賢二,ストーミングホーム,ショートハンド,Diktat,青毛,0,0, 0- 0- 0- 0,H.H.シェイク・モハメド,ダーレー・ジャパン・ファーム,在厩
2012101690,ピースオブジャパン,牡,2,在厩,(栗)宮徹,ダイワメジャー,マイティーカラー,トニービン,栗毛,0,0, 0- 0- 0- 0,小川勲,中原牧場,在厩
2012101704,ニシノラッシュ,牡,2,在厩,(美)田村康仁,サクラバクシンオー,キャッスルブラウン,"Silver Hawk",鹿毛,0,0, 0- 0- 0- 0,西山茂行,村上欽哉,在厩
2012101914,トーセンエクレール,牡,2,不在,(美)本間忍,トーセンダンス,プリーズルックアットミーナウ,"Irish River",鹿毛,0,0, 0- 0- 0- 0,島川隆哉,本間牧場,不在
2012102023,キングイマデショウ,牡,2,在厩,(美)蛯名利弘,メイショウボーラー,マキシムカフェ,マンハッタンカフェ,鹿毛,0,0, 0- 0- 0- 1,首藤徳,ヤナガワ牧場,在厩
2012102293,ロードグリッター,牡,2,在厩,(栗)藤岡健一,ステイゴールド,エイトディズアパート,"Forest Wildcat",栗毛,0,0, 0- 0- 0- 0,ロードホースクラブ,ケイアイファーム,在厩
2012102302,ロードトリニティ,牡,2,不在,(美)菊川正達,ジャングルポケット,レディキルシェ,サンデーサイレンス,鹿毛,0,0, 0- 0- 0- 1,ロードホースクラブ,ケイアイファーム,不在
2012102357,ウインオベロン,牡,2,在厩,(栗)宮本博,カネヒキリ,エイシンベリンダ,エルコンドルパサー,黒鹿,0,0, 0- 0- 0- 1,ウイン,城地清満,在厩
2012102432,アポロエース,牡,2,在厩,(美)岩戸孝樹,アポロキングダム,フジコウゴールド,フォーティナイナー,栗毛,0,0, 0- 0- 0- 1,アポロサラブレッドクラブ,中橋清,在厩
2012102460,ゴッドバローズ,牡,2,在厩,(美)田中剛,ステイゴールド,アリゲーターアリー,"Gone West",黒鹿,0,0, 0- 0- 0- 0,猪熊広次,ヒサイファーム,在厩
2012102545,ピックアンドポップ,牡,2,不在,(美)武井亮,キンシャサノキセキ,ウィギング,Warning,青鹿,0,0, 0- 0- 0- 1,大内康平,水丸牧場,不在
2012102586,ノーブルカイザー,牡,2,不在,(美)鈴木伸尋,アグネスデジタル,ブイルージュ,ウォーニング,鹿毛,0,0, 0- 0- 0- 0,吉木伸彦,村上牧場,不在
2012102676,キザシ,牡,2,在厩,(美)小桧山悟,サウスヴィグラス,ダイヤモンドギフト,ブライアンズタイム,栗毛,0,0, 0- 0- 0- 1,フジワラ・ファーム,池田牧場,在厩
2012102935,ミリノカイザー,牡,2,不在,(栗)森秀行,ハーツクライ,クイーンエタニティ,Kingmambo,青鹿,0,0, 0- 0- 0- 0,榮義則,桜井牧場,不在
2012102939,ナンヨーテンプル,牡,2,不在,(美)奥平雅士,ゼンノロブロイ,ハイカックウ,"High Chaparral",黒鹿,0,0, 0- 0- 0- 0,中村徳也,桜井牧場,不在
2012102956,マッシヴランナー,牡,2,不在,(栗)大橋勇樹,ハーツクライ,バクシンヒロイン,サクラバクシンオー,黒鹿,0,0, 0- 0- 0- 0,小川勲,佐竹学,不在
2012102967,アルマクレヨン,牡,2,在厩,(美)池上昌弘,フサイチリシャール,ベルグチェリー,サクラバクシンオー,栗毛,0,0, 0- 0- 0- 0,コウトミックレーシング,静内酒井牧場,在厩
2012102972,キングデュナミス,牡,2,在厩,(美)小島茂之,ステイゴールド,ミヤビグレイス,キングカメハメハ,鹿毛,0,0, 0- 0- 0- 1,村上義勝,静内白井牧場,在厩
2012102984,ドラゴンゲート,牡,2,在厩,(美)小西一男,メイショウボーラー,デュークタイフーン,フジキセキ,栗毛,0,110, 0- 0- 0- 1,平本敏夫,静内フジカワ牧場,在厩
2012102995,アイファーコジーン,牡,2,在厩,(栗)坪憲章,アドマイヤコジーン,ネコヤナギ,ダンスインザダーク,芦毛,0,0, 0- 0- 0- 0,中島稔,静内山田牧場,在厩
2012103040,サクラエアスター,牡,2,不在,(美)田中剛,サクラオリオン,サクラセレーネ,サクラローレル,黒鹿,0,0, 0- 0- 0- 0,さくらコマース,高橋修,不在
2012103046,ゴットモーニング,牡,2,在厩,(栗)木原一良,ケイムホーム,オースミエルフ,オースミタイクーン,鹿毛,0,0, 0- 0- 0- 0,後藤進,高橋フアーム,在厩
