血統登録番号, 馬名,性別,年齢,状態,厩舎,種牡馬,母名,母父名,毛色,収得賞金,本賞金,着度数,馬主,生産者,状態
2012103322,シューイチ,牡,2,不在,(美)中野栄治,スマートボーイ,メルシーミヨ,アドマイヤボス,鹿毛,0,0, 0- 0- 0- 1,益田修一,西川富岡牧場,不在
2012103544,タマモカチグリ,牡,2,在厩,(美)伊藤圭三,マツリダゴッホ,チャームマロン,テイエムオペラオー,栗毛,0,0, 0- 0- 0- 0,タマモ,前田牧場,在厩
2012103875,ソヴリンマンボ,牡,2,在厩,(美)谷原義明,スズカマンボ,フラワーサークル,サクラバクシンオー,青鹿,0,0, 0- 0- 0- 0,平岡茂樹,飯原牧場,在厩
2012104292,ディープフォルツァ,牡,2,不在,(栗)安田隆行,ディープインパクト,チナンデガ,Chichicastenango,鹿毛,0,180, 0- 0- 1- 0,グリーンファーム,社台ファーム,不在
2012104331,トーセンスパンキー,牡,2,在厩,(美)木村哲也,スペシャルウィーク,バースデイローズ,トニービン,栗毛,0,0, 0- 0- 0- 0,島川隆哉,社台ファーム,在厩
2012104588,ワンダーショット,牡,2,在厩,(栗)小崎憲,スペシャルウィーク,キスショット,"Fusaichi Pegasus",鹿毛,0,0, 0- 0- 0- 0,サンデーレーシング,社台コーポレーション白老ファーム,在厩
2012104862,ジュンファイター,牡,2,不在,(栗)友道康夫,ダイワメジャー,マンファス,"Last Tycoon",鹿毛,0,0, 0- 0- 0- 0,河合純二,ノーザンファーム,不在
2012104907,アドマイヤロケット,牡,2,在厩,(栗)友道康夫,ゼンノロブロイ,リッチアフェアー,Machiavellian,青鹿,0,0, 0- 0- 0- 0,近藤利一,ノーザンファーム,在厩
2012105425,ブライトボイス,牡,2,在厩,(栗)加用正,スペシャルウィーク,アフレタータ,タイキシャトル,栗毛,0,0, 0- 0- 0- 0,宮川純造,富田牧場,在厩
2012105577,エイシンシャーマン,牡,2,不在,(栗)坂口正則,キングカメハメハ,セントルイスガール,"Silver Hawk",鹿毛,0,0, 0- 0- 0- 1,栄進堂,三嶋牧場,不在
